"","country","crop_type","site","colony_code","total_production","queenCocoon_production","wt_change","wt_max","wt_1","wt_2","wt_3","cropland_prop","cropland_prop_centered","pesticideRisk","pesticideRisk_log_centered","MCR","uniqueCompound_count"
"267","ITA","APP",15,"ITA_APP_15_B2",506,101,0.366823937132796,863,598,631,863,0.4481,-0.49602874044365,26.5132599220272,0.0554511343709497,3.54450318815754,17
"268","ITA","APP",15,"ITA_APP_15_B3",436,66,0.356177307700545,861,603,633,861,0.4481,-0.49602874044365,26.5132599220272,0.0554511343709497,3.54450318815754,17
"269","ITA","APP",16,"ITA_APP_16_B1",663,139,0.282020917017043,822,620,650,822,0.5494,-0.0279978267946606,7.91023222652092,-0.290668411686297,3.20662102085848,14
"270","ITA","APP",16,"ITA_APP_16_B2",760,27,0.569303821353006,1115,631,637,1115,0.5494,-0.0279978267946606,7.91023222652092,-0.290668411686297,3.20662102085848,14
"271","ITA","APP",16,"ITA_APP_16_B3",1069,347,1.05135940381756,1674,585,616,1674,0.5494,-0.0279978267946606,7.91023222652092,-0.290668411686297,3.20662102085848,14
"272","SWE","OSR",1,"SWE_OSR_01_B1",995,248,0.854691609412142,1448,616,1137,1448,0.8877,1.53503137446352,2.16216193475961,-0.65515316283438,1.73405387167721,8
"273","SWE","OSR",1,"SWE_OSR_01_B2",1073,16,0.82017330991102,1576,694,875,1576,0.8877,1.53503137446352,2.16216193475961,-0.65515316283438,1.73405387167721,8
"274","SWE","OSR",1,"SWE_OSR_01_B3",1350,165,1.2003774417342,2036,613,1155,2036,0.8877,1.53503137446352,2.16216193475961,-0.65515316283438,1.73405387167721,8
"275","SWE","OSR",2,"SWE_OSR_02_B1",1480,76,1.30815322194855,2227,602,1415,2227,0.9081,1.62928439162481,1.11209862295493,-0.835022612907329,2.16516865658104,6
"276","SWE","OSR",2,"SWE_OSR_02_B2",1064,101,0.832098640653807,1480,644,771,1480,0.9081,1.62928439162481,1.11209862295493,-0.835022612907329,2.16516865658104,6
"277","SWE","OSR",2,"SWE_OSR_02_B3",1790,19,1.30084915516301,2343,638,1341,2343,0.9081,1.62928439162481,1.11209862295493,-0.835022612907329,2.16516865658104,6
"278","SWE","OSR",3,"SWE_OSR_03_B1",1316,125,1.18045425142157,1947,598,1128,1947,0.6266,0.328685159717699,0.1753227941527,-1.26228203582873,1.49900989000558,3
"279","SWE","OSR",3,"SWE_OSR_03_B2",1498,236,1.09448218470743,1933,647,1015,1933,0.6266,0.328685159717699,0.1753227941527,-1.26228203582873,1.49900989000558,3
"280","SWE","OSR",3,"SWE_OSR_03_B3",1571,198,1.4297068540552,2448,586,1369,2448,0.6266,0.328685159717699,0.1753227941527,-1.26228203582873,1.49900989000558,3
"281","SWE","OSR",4,"SWE_OSR_04_B1",1148,23,0.748857787573951,1218,576,1001,1218,0.9383,1.76881581899105,0.439210048609468,-1.06852004144931,1.8141284616478,4
"282","SWE","OSR",4,"SWE_OSR_04_B2",927,213,0.649594418775775,1258,657,1094,1258,0.9383,1.76881581899105,0.439210048609468,-1.06852004144931,1.8141284616478,4
"283","SWE","OSR",4,"SWE_OSR_04_B3",1137,45,0.957227552337544,1633,627,1042,1633,0.9383,1.76881581899105,0.439210048609468,-1.06852004144931,1.8141284616478,4
"284","SWE","OSR",5,"SWE_OSR_05_B1",1482,214,1.0809678246884,1910,648,1216,1910,0.8367,1.29939883156027,1.14972472882558,-0.826210267845108,2.27549685913396,5
"285","SWE","OSR",5,"SWE_OSR_05_B2",751,192,0.774150964713032,1388,640,931,1388,0.8367,1.29939883156027,1.14972472882558,-0.826210267845108,2.27549685913396,5
"286","SWE","OSR",5,"SWE_OSR_05_B3",1430,317,1.48098168198162,2568,584,1521,2568,0.8367,1.29939883156027,1.14972472882558,-0.826210267845108,2.27549685913396,5
"287","SWE","OSR",6,"SWE_OSR_06_B1",1678,10,1.26685731410981,2215,624,1176,2215,0.9369,1.76234747467606,1.46068177345511,-0.762157445304957,1.97121814331178,5
"288","SWE","OSR",6,"SWE_OSR_06_B2",1124,17,0.848152926706937,1560,668,929,1560,0.9369,1.76234747467606,1.46068177345511,-0.762157445304957,1.97121814331178,5
"289","SWE","OSR",6,"SWE_OSR_06_B3",1195,16,1.01670151780607,1769,640,1201,1769,0.9369,1.76234747467606,1.46068177345511,-0.762157445304957,1.97121814331178,5
"290","SWE","OSR",7,"SWE_OSR_07_B1",1673,16,1.2286242858109,2026,593,1474,2026,0.4157,-0.645724708876298,0,-1.55423160911155,0,0
"291","SWE","OSR",7,"SWE_OSR_07_B2",821,3,0.81584794884331,1325,586,1023,1325,0.4157,-0.645724708876298,0,-1.55423160911155,0,0
