IR1_190627_x,IR1_190627_y,IR2_190627_x,IR2_190627_y
583.3861000000001,0.1845669,583.3861000000001,0.1887503
583.8682,0.1838638,583.8682,0.1892616
584.3504,0.1830363,584.3504,0.1907249
584.8325,0.1821003,584.8325,0.1930777
585.3146,0.1811162,585.3146,0.1960924
585.7968,0.1801315,585.7968,0.1993836
586.2789,0.179159,586.2789,0.2024745
586.761,0.1781984,586.761,0.2049049
587.2432,0.1772727,587.2432,0.2063454
587.7252999999999,0.1764501,587.7252999999999,0.2066729
588.2075,0.1758219,588.2075,0.2059709
588.6896,0.1754483,588.6896,0.204461
589.1718,0.1752975,589.1718,0.2024034
589.6539,0.1752194,589.6539,0.20002
590.136,0.1749757,590.136,0.1974727
590.6182,0.1743305,590.6182,0.1948915
591.1002999999999,0.1731652,591.1002999999999,0.1924243
591.5825,0.171567,591.5825,0.1902593
592.0646,0.1698233,592.0646,0.1885932
592.5467,0.1683157,592.5467,0.1875569
593.0289,0.1673618,593.0289,0.1871476
593.511,0.1670935,593.511,0.1872156
593.9931,0.1674216,593.9931,0.1875182
594.4752999999999,0.1680965,594.4752999999999,0.1878155
594.9574,0.1688211,594.9574,0.1879661
595.4395,0.1693712,595.4395,0.187978
595.9217,0.1696706,595.9217,0.18799
596.4038,0.1697945,596.4038,0.1881907
596.8859,0.169905,596.8859,0.188712
597.3681,0.1701598,597.3681,0.1895526
597.8502,0.1706398,597.8502,0.1905649
598.3323,0.1713311,598.3323,0.1915152
598.8145,0.1721579,598.8145,0.1921875
599.2966,0.1730468,599.2966,0.1924911
599.7787,0.173984,599.7787,0.1925158
600.2609,0.1750335,600.2609,0.1925079
600.7430000000001,0.1763066,600.7430000000001,0.1927725
601.2252,0.1779072,601.2252,0.1935586
601.7073,0.1798819,601.7073,0.1949804
602.1895,0.1822076,602.1895,0.1970073
602.6716,0.1848146,602.6716,0.1995095
603.1537,0.1876319,603.1537,0.2023257
603.6359,0.1906283,603.6359,0.2053175
604.1180000000001,0.1938263,604.1180000000001,0.2083879
604.6002,0.1972799,604.6002,0.211469
605.0823,0.2010345,605.0823,0.2144993
605.5644,0.2050863,605.5644,0.2174118
606.0466,0.2093656,606.0466,0.2201483
606.5287,0.2137503,606.5287,0.2226864
607.0108,0.2181025,607.0108,0.2250608
607.4930000000001,0.2223061,607.4930000000001,0.2273551
607.9751,0.2262898,607.9751,0.2296623
608.4571999999999,0.2300282,608.4571999999999,0.2320354
608.9394,0.2335307,608.9394,0.2344564
609.4215,0.2368332,609.4215,0.2368481
609.9036,0.2400054,609.9036,0.2391269
610.3858,0.2431627,610.3858,0.2412707
610.8679,0.2464755,610.8679,0.2433649
611.35,0.2501521,611.35,0.2455943
611.8321999999999,0.2543972,611.8321999999999,0.2481838
612.3143,0.2593551,612.3143,0.2513151
612.7963999999999,0.2650683,612.7963999999999,0.2550651
613.2786,0.2714661,613.2786,0.2593964
613.7607,0.2784009,613.7607,0.2642063
614.2429,0.2857143,614.2429,0.2694056
614.725,0.293311,614.725,0.2749825
615.2071999999999,0.3012016,615.2071999999999,0.2810116
615.6893,0.3094962,615.6893,0.2875963
616.1713999999999,0.3183519,616.1713999999999,0.2947756
616.6536,0.3279053,616.6536,0.3024503
617.1357,0.338225,617.1357,0.3103874
617.6179,0.3493152,617.6179,0.3183177
618.1,0.3611635,618.1,0.3260847
618.5821,0.3737975,618.5821,0.3337633
619.0643,0.3873182,619.0643,0.341673
619.5463999999999,0.4018841,619.5463999999999,0.3502726
620.0285,0.4176553,620.0285,0.3599887
620.5107,0.4347353,620.5107,0.3710613
620.9928,0.4531454,620.9928,0.3834725
621.4749,0.4728547,621.4749,0.3969958
621.9571,0.4938442,621.9571,0.4113435
622.4392,0.5161654,622.4392,0.4263464
622.9213,0.5399241,622.9213,0.4420672
623.4035,0.5651708,623.4035,0.4587801
623.8856,0.5917172000000001,623.8856,0.4768145
624.3678,0.6189803,624.3678,0.4963342
624.8499,0.6459668,624.8499,0.517155
625.332,0.6715135,625.332,0.538703
625.8142,0.6947415,625.8142,0.5601494
626.2963,0.7155281,626.2963,0.580678
626.7784,0.7346607000000001,626.7784,0.5997368
627.2606,0.7535415,627.2606,0.6171255
627.7427,0.7735742,627.7427,0.6328779
628.2249,0.7955642000000001,628.2249,0.6470482
628.707,0.8193548,628.707,0.6595561
629.1891000000001,0.8438247,629.1891000000001,0.6702072
629.6713,0.8672314,629.6713,0.6788623
630.1534,0.8878077,630.1534,0.6856333
630.6356,0.9043477,630.6356,0.6909553
631.1177,0.9164914,631.1177,0.6954755
631.5999,0.9245822,631.5999,0.6998443
632.082,0.9292861,632.082,0.7045708000000001
632.5641000000001,0.9312942,632.5641000000001,0.7100488
633.0463,0.9312868,633.0463,0.7167436
633.5284,0.9300248,633.5284,0.7253824
634.0105,0.9283269,634.0105,0.7369616
634.4927,0.9267049000000001,634.4927,0.752403
634.9748,0.9247030000000001,634.9748,0.7718388
635.4569,0.9202147000000001,635.4569,0.7936298000000001
635.9391000000001,0.9092913,635.9391000000001,0.8134336
636.4212,0.8869917,636.4212,0.8240392
636.9032999999999,0.8494185,636.9032999999999,0.8170838
637.3855,0.795883,637.3855,0.7869131
637.8676,0.7294938,637.8676,0.7341109
638.3497,0.6556864999999999,638.3497,0.6652122
638.8319,0.5800973,638.8319,0.5890364
639.314,0.5072102000000001,639.314,0.5132506
639.7961,0.4400279,639.7961,0.4430466
640.2782999999999,0.3802955,640.2782999999999,0.3813216
640.7604,0.3288438,640.7604,0.329307
641.2426,0.2858585,641.2426,0.2871377
641.7247,0.2510645,641.7247,0.2542565
642.2068,0.2238566,642.2068,0.2296905
642.689,0.2034084,642.689,0.2122418
643.1711,0.1887648,643.1711,0.2006136
643.6532999999999,0.1789164,643.6532999999999,0.1934899
